standard,kind,threshold,max_days,min_days,confirmation_days,max_rebalances_per_month,description
deposit_only_no_rebalance,target_change,2.0,,0,1,,仅按月末目标投入新增资金，不主动再平衡
calendar_monthly_reference,calendar_monthly,0.5,,0,1,,对照：每月首个交易日收盘固定触发
portfolio_drift_01,portfolio_drift,0.01,,0,1,,组合单边偏离达到1%
portfolio_drift_02,portfolio_drift,0.02,,0,1,,组合单边偏离达到2%
portfolio_drift_03,portfolio_drift,0.03,,0,1,,组合单边偏离达到3%
portfolio_drift_05,portfolio_drift,0.05,,0,1,,组合单边偏离达到5%
portfolio_drift_075,portfolio_drift,0.075,,0,1,,组合单边偏离达到7.5%
portfolio_drift_10,portfolio_drift,0.1,,0,1,,组合单边偏离达到10%
portfolio_drift_15,portfolio_drift,0.15,,0,1,,组合单边偏离达到15%
portfolio_drift_15_monthly_cap1,portfolio_drift,0.15,,0,1,1.0,组合单边偏离达到15%，每月最多再平衡一次
portfolio_drift_125_monthly_cap1,portfolio_drift,0.125,,0,1,1.0,组合单边偏离达到12.5%，每月最多再平衡一次
portfolio_drift_10_monthly_cap1,portfolio_drift,0.1,,0,1,1.0,组合单边偏离达到10%，每月最多再平衡一次
portfolio_drift_20,portfolio_drift,0.2,,0,1,,组合单边偏离达到20%
portfolio_drift_25,portfolio_drift,0.25,,0,1,,组合单边偏离达到25%
portfolio_drift_30,portfolio_drift,0.3,,0,1,,组合单边偏离达到30%
portfolio_drift_40,portfolio_drift,0.4,,0,1,,组合单边偏离达到40%
max_asset_drift_03,max_asset_drift,0.03,,0,1,,任一ETF绝对偏离达到3个百分点
max_asset_drift_01,max_asset_drift,0.01,,0,1,,任一ETF绝对偏离达到1个百分点
max_asset_drift_02,max_asset_drift,0.02,,0,1,,任一ETF绝对偏离达到2个百分点
max_asset_drift_05,max_asset_drift,0.05,,0,1,,任一ETF绝对偏离达到5个百分点
max_asset_drift_075,max_asset_drift,0.075,,0,1,,任一ETF绝对偏离达到7.5个百分点
max_asset_drift_10,max_asset_drift,0.1,,0,1,,任一ETF绝对偏离达到10个百分点
max_asset_drift_15,max_asset_drift,0.15,,0,1,,任一ETF绝对偏离达到15个百分点
max_asset_drift_20,max_asset_drift,0.2,,0,1,,任一ETF绝对偏离达到20个百分点
max_asset_drift_25,max_asset_drift,0.25,,0,1,,任一ETF绝对偏离达到25个百分点
max_asset_drift_30,max_asset_drift,0.3,,0,1,,任一ETF绝对偏离达到30个百分点
target_change_05,target_change,0.05,,0,1,,目标组合相对上次再平衡单边变化达到5%
target_change_025,target_change,0.025,,0,1,,目标组合相对上次再平衡单边变化达到2.5%
target_change_075,target_change,0.075,,0,1,,目标组合相对上次再平衡单边变化达到7.5%
target_change_10,target_change,0.1,,0,1,,目标组合相对上次再平衡单边变化达到10%
target_change_15,target_change,0.15,,0,1,,目标组合相对上次再平衡单边变化达到15%
target_change_20,target_change,0.2,,0,1,,目标组合相对上次再平衡单边变化达到20%
target_change_25,target_change,0.25,,0,1,,目标组合相对上次再平衡单边变化达到25%
target_change_30,target_change,0.3,,0,1,,目标组合相对上次再平衡单边变化达到30%
target_change_40,target_change,0.4,,0,1,,目标组合相对上次再平衡单边变化达到40%
portfolio_drift_05_or_20d,portfolio_drift,0.05,20.0,0,1,,组合偏离5%或距上次成交20个交易日
portfolio_drift_075_or_20d,portfolio_drift,0.075,20.0,0,1,,组合偏离7.5%或距上次成交20个交易日
portfolio_drift_10_or_20d,portfolio_drift,0.1,20.0,0,1,,组合偏离10%或距上次成交20个交易日
portfolio_drift_15_min05d,portfolio_drift,0.15,,5,1,,组合偏离15%且距上次成交至少5日
portfolio_drift_15_min10d,portfolio_drift,0.15,,10,1,,组合偏离15%且距上次成交至少10日
portfolio_drift_15_min20d,portfolio_drift,0.15,,20,1,,组合偏离15%且距上次成交至少20日
portfolio_drift_20_min10d,portfolio_drift,0.2,,10,1,,组合偏离20%且距上次成交至少10日
target_change_15_min05d,target_change,0.15,,5,1,,目标变化15%且距上次成交至少5日
target_change_15_min10d,target_change,0.15,,10,1,,目标变化15%且距上次成交至少10日
target_change_15_min20d,target_change,0.15,,20,1,,目标变化15%且距上次成交至少20日
target_change_15_confirm02d,target_change,0.15,,0,2,,目标变化15%连续满足2日
target_change_15_confirm03d,target_change,0.15,,0,3,,目标变化15%连续满足3日
target_change_15_confirm05d,target_change,0.15,,0,5,,目标变化15%连续满足5日
portfolio_drift_15_confirm02d,portfolio_drift,0.15,,0,2,,组合偏离15%连续满足2日
portfolio_drift_15_confirm03d,portfolio_drift,0.15,,0,3,,组合偏离15%连续满足3日
portfolio_drift_15_confirm05d,portfolio_drift,0.15,,0,5,,组合偏离15%连续满足5日
target_change_20_confirm03d,target_change,0.2,,0,3,,目标变化20%连续满足3日
portfolio_drift_20_confirm03d,portfolio_drift,0.2,,0,3,,组合偏离20%连续满足3日
